run_id,input_file,time_limit,algorithm,task,RTA_WCRT_raw,RTA_WCRT_ceil,max_observed_rt,deadline_misses
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T9,704.00,704,704,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T10,756.00,756,756,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T11,1051.00,1051,1051,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T12,1085.00,1085,1085,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T13,1245.00,1245,1245,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T14,1373.00,1373,1373,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T15,1425.00,1425,1425,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T16,1555.00,1555,1555,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T17,1768.00,1768,1768,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T18,1797.00,1797,1797,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T19,1905.00,1905,1905,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T20,3110.00,3110,3110,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T21,3173.00,3173,3173,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T22,3486.00,3486,3486,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T23,3733.00,3733,3733,0
2026-03-08 12:58:45,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_2.csv,200000,EDF,T24,4108.00,4108,4108,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T0,5.00,5,5,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T1,50.00,50,50,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T2,79.00,79,79,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T3,97.00,97,97,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T4,118.00,118,118,0
2026-03-08 12:58:52,tasks\course_tasksets\output\unifast-utilDist\uniform-discrete-perDist\1-core\25-task\0-jitter\0.10-util\tasksets\uniform-discrete_3.csv,200000,EDF,T5,155.00,155,155,0
